x,flux_0,flux_1,vf_0,vf_1
2.95,0.41582377044889174,0.00878085505215212,0.5523715939651048,0.4476284060348951
2.96,0.41456125509635866,0.008760742689289877,0.5526620453237014,0.44733795467629855
2.97,0.4133035702272949,0.008740979934405977,0.5529513052977342,0.4470486947022658
2.98,0.4120506906162588,0.008721536866987865,0.5532393787740701,0.44676062122592985
2.99,0.4108025911656453,0.008702386226912724,0.5535262706195313,0.4464737293804687
3.0,0.4095592469096289,0.008683503178692037,0.5538119856809767,0.44618801431902333
3.01,0.40830366255062717,0.0086540206098333,0.5541327455265516,0.44586725447344844
3.02,0.40705300850410614,0.008625819294045198,0.5544521800940145,0.4455478199059854
3.03,0.4058072596508963,0.008598786326133083,0.5547702948589952,0.44522970514100474
3.04,0.4045663908425079,0.008572818813959852,0.5550870952744995,0.4449129047255005
3.05,0.40333037692106233,0.008547822991517413,0.5554025867710031,0.4445974132289969
3.06,0.40209919273726374,0.008523713410532237,0.555716774756545,0.4442832252434549
3.07,0.4008728131665907,0.008500412203653199,0.5560296646168198,0.4439703353831802
3.08,0.39965121312386787,0.008477848412885059,0.5563412617152699,0.4436587382847302
3.09,0.3984343675763676,0.008455957377491755,0.5566515713931777,0.44334842860682233
3.1,0.39722225155557295,0.008434680176104697,0.5569605989697575,0.4430394010302426
3.11,0.3960148401677285,0.008413963118237396,0.5572683497422457,0.44273165025775435
3.12,0.39481210860328414,0.008393757280832258,0.5575748289859926,0.44242517101400736
3.13,0.39361403214533897,0.008374018085852652,0.5578800419545525,0.44211995804544746
3.14,0.39242058617717324,0.008354704915286152,0.5581839938797735,0.4418160061202266
3.15,0.3912317461889536,0.008335780760246582,0.558486689971887,0.44151331002811306
3.16,0.3900474877836869,0.00831721190115563,0.558788135419598,0.44121186458040196
3.17,0.3888677866824936,0.008298967616252055,0.5590883353901732,0.4409116646098268
3.18,0.38769261872926114,0.008281019915920165,0.5593872950295297,0.44061270497047034
3.19,0.3865219598947365,0.008263343300551214,0.5596850194623232,0.4403149805376768
3.2,0.38535578628010975,0.00824591453985383,0.5599815137920362,0.4400184862079638
3.21,0.3841778473740829,0.008218558600245604,0.5603134200675071,0.43968657993249294
3.22,0.38300456137030336,0.008192401341937423,0.5606439441475417,0.4393560558524583
3.23,0.38183590417506064,0.008167336903836147,0.5609730917881752,0.4390269082118247
3.24,0.3806718516750849,0.008143268815575144,0.5613008687214727,0.43869913127852733
3.25,0.37951237975609564,0.008120109165583098,0.5616272806556277,0.4383727193443722
3.26,0.37835746431951384,0.008097777842827381,0.5619523332750636,0.4380476667249365
3.27,0.37720708129751007,0.008076201845709506,0.5622760322405302,0.4377239677594698
3.28,0.37606120666653675,0.008055314652167453,0.5625983831892045,0.4374016168107954
3.29,0.3749198164594853,0.008035055645565824,0.562919391734788,0.437080608265212
3.3,0.3737828867765932,0.008015369591434405,0.5632390634676037,0.4367609365323963
3.31,0.3726503937952137,0.007996206160552966,0.5635574039546949,0.43644259604530516
3.32,0.37152231377855616,0.007977519494278539,0.5638744187399207,0.4361255812600792
3.33,0.3703986230834865,0.007959267808374778,0.5641901133440543,0.4358098866559457
3.34,0.369279298167479,0.007941413031933972,0.5645044932648771,0.435495506735123
3.35,0.3681643155947945,0.007923920478284226,0.5648175639772758,0.4351824360227242
3.36,0.3670536520419566,0.007906758545049332,0.5651293309333376,0.43487066906666233
3.37,0.3659472843025927,0.007889898440779582,0.565439799562445,0.434560200437555
3.38,0.3648451892916964,0.00787331393580047,0.5657489752713697,0.4342510247286303
3.39,0.36374734404936615,0.007856981135134378,0.5660568634443681,0.4339431365556319
3.4,0.3626537257440691,0.007840878271540378,0.5663634694432738,0.4336365305567262
3.41,0.3615487945113098,0.007815463720450829,0.5667058910882374,0.4332941089117626
3.42,0.36044825089401855,0.007791172543686502,0.5670468745117214,0.4329531254882786
3.43,0.3593520718297286,0.007767905308593919,0.5673864257544687,0.4326135742455313
3.44,0.3582602342445088,0.0077455714054209205,0.5677245508318497,0.4322754491681503
3.45,0.3571727150702463,0.007724088265551387,0.5680612557339697,0.4319387442660303
3.46,0.35608949126021383,0.007703380648983266,0.5683965464257745,0.4316034535742255
3.47,0.3550105398030743,0.007683379994918729,0.5687304288471562,0.4312695711528438
3.48,0.35393583773546755,0.0076640238298781565,0.5690629089130586,0.4309370910869414
3.49,0.3528653621533087,0.007645255228244132,0.5693939925135819,0.4306060074864181
3.5,0.3517990902219162,0.007627022320592675,0.5697236855140868,0.4302763144859132
3.51,0.3507369991850754,0.007609277845579876,0.5700519937552988,0.4299480062447012
3.52,0.3496790663731369,0.00759197874152673,0.5703789230534115,0.42962107694658846
3.53,0.3486252692102389,0.007575085774186424,0.5707044792001896,0.4292955207998104
3.54,0.34757558522073223,0.007558563197489662,0.5710286679630713,0.4289713320369287
3.55,0.34652999203488194,0.007542378444347215,0.571351495085271,0.42864850491472895
3.56,0.34548846739391526,0.007526501844847545,0.5716729662858808,0.4283270337141192
3.57,0.34445098915447225,0.007510906369423094,0.5719930872599714,0.42800691274002856
3.58,0.34341753529251734,0.007495567394773555,0.5723118636786938,0.4276881363213062
3.59,0.34238808390676134,0.007480462490530438,0.5726293011893789,0.42737069881062106
3.6,0.34136261322163863,0.0074655712248255755,0.5729454054156384,0.42705459458436157
3.61,0.34032626016402157,0.007441932483697711,0.5732977660725053,0.42670223392749473
3.62,0.3392940418970434,0.007419348338815079,0.5736486330688467,0.4263513669311533
3.63,0.3382659363828664,0.00739772523147891,0.5739980127363055,0.42600198726369454
3.64,0.33724192157886546,0.0073769779071512775,0.5743459113796843,0.4256540886203157
3.65,0.3362219754537587,0.007357028679506102,0.5746923352770599,0.4253076647229401
3.66,0.33520607600212743,0.007337806759677536,0.5750372906798958,0.42496270932010416
3.67,0.33419420125747124,0.007319247644931922,0.5753807838131562,0.4246192161868439
3.68,0.3331863293039334,0.0073012925615005535,0.5757228208754167,0.4242771791245833
3.69,0.3321824382868176,0.007283887956776525,0.5760634080389779,0.4239365919610221
3.7,0.33118250642200736,0.007266985036503516,0.5764025514499755,0.4235974485500244
3.71,0.330186512004389,0.007250539342971513,0.5767402572284919,0.42325974277150813
3.72,0.3291944334153683,0.007234510370587351,0.5770765314686661,0.42292346853133383
3.73,0.32820624912956714,0.007218861215509437,0.5774113802388043,0.42258861976119566
3.74,0.3272219377207725,0.007203558256329287,0.577744809581489,0.422255190418511
3.75,0.32624147786721,0.007188570863049642,0.5780768255136879,0.4219231744863121
3.76,0.32526484835620173,0.007173871131852449,0.578407434026863,0.421592565973137
3.77,0.32429202808826807,0.007159433643372041,0.5787366410870783,0.42126335891292166
3.78,0.3233229960807232,0.007145235242391114,0.5790644526351076,0.4209355473648923
3.79,0.3223577314708128,0.007131254837061563,0.5793908745865419,0.4206091254134581
3.8,0.32139621351843667,0.007117473215920308,0.5797159128318955,0.4202840871681045
3.81,0.32042422260655934,0.0070954619832560755,0.5800776861851693,0.41992231381483064
3.82,0.31945612625284797,0.007074442450751839,0.5804379107333009,0.4195620892666991
3.83,0.3184919034275646,0.007054326433025567,0.5807965931069536,0.41920340689304636
3.84,0.3175315331016652,0.007035033574430895,0.5811537399084042,0.41884626009159576
3.85,0.31657499426187685,0.007016490654998262,0.581509357711664,0.418490642288336
3.86,0.3156222659242628,0.006998630957875386,0.5818634530625999,0.4181365469374001
3.87,0.3146733271464115,0.006981393692819653,0.5822160324790552,0.4177839675209448
3.88,0.3137281570383766,0.006964723470777311,0.5825671024509692,0.4174328975490308
3.89,0.31278673477248253,0.006948569825024066,0.5829166694404969,0.4170833305595031
3.9,0.3118490395920999,0.006932886774742349,0.5832647398821278,0.41673526011787215
3.91,0.3109150508194842,0.006917632427275827,0.5836113201828044,0.41638867981719563
3.92,0.3099847478627668,0.006902768615634651,0.5839564167220401,0.41604358327795987
3.93,0.3090581102221734,0.006888260568128344,0.5843000358520368,0.4156999641479632
3.94,0.3081351174955432,0.006874076607279923,0.5846421838978016,0.41535781610219835
3.95,0.30721574938321367,0.00686018787542681,0.5849828671572632,0.4150171328427367
3.96,0.306299985692328,0.0068465680846440365,0.5853220919013882,0.41467790809861177
3.97,0.30538780634062146,0.006833193288834525,0.5856598643742961,0.414340135625704
3.98,0.30447919135973334,0.006820041676022244,0.5859961907933742,0.41400380920662583
3.99,0.3035741208980891,0.0068070933790579605,0.5863310773493926,0.41366892265060745
4.0,0.30267257522339447,0.006794330303105946,0.5866645302066176,0.41333546979338237
4.01,0.30176094554382227,0.0067738135052869426,0.5870352358159754,0.4129647641840246
